name,demand,cutoff,yield
Cornell College,261,0.5080814492687522,0.18
Dordt College,381,0.3582570977283559,0.37
Grand View University,298,0.0913656978725737,0.39
Iowa Wesleyan College,103,0.09465124770576917,0.13
Luther College,628,0.48789003464022657,0.25
Northwestern College,284,0.28166006623469775,0.31
Wartburg College,451,0.21826228608286863,0.26
Baker University,235,0.2293722524811536,0.31
Bethany College,184,0.041453181316704515,0.27
Bethel College-North Newton,123,0.12432975753470615,0.22
Newman University,165,0.26372423549253354,0.16
Ottawa University-Ottawa,145,0.08865538154861233,0.55
Southwestern College,128,0.1175180465748508,0.33
Sterling College,169,0.09709097933524602,0.43
Alice Lloyd College,189,0.05690188784504096,0.11
Berea College,397,0.290962707214502,0.72
Campbellsville University,525,0.05307083914546404,0.29
Centre College,377,0.6830278966546179,0.22
Eastern Kentucky University,2306,0.0957601585968583,0.39
Kentucky State University,506,0.0,0.21
Kentucky Wesleyan College,163,0.11000007154515799,0.24
Kentucky Christian University,135,0.04728277527552864,0.45
University of Louisville,2857,0.4127230017749929,0.44
Mid-Continent University,201,0.0,0.62
Midway College,115,0.10779149228823898,0.48
Morehead State University,1649,0.09556936862687027,0.37
Louisiana College,266,0.055282124109858374,0.4
Nicholls State University,1243,0.13835776640180683,0.59
Southern University at New Orleans,684,0.0021999999999999997,0.9
Tulane University of Louisiana,1609,0.8090717177353464,0.2
Xavier University of Louisiana,675,0.15815180096173523,0.26
Bowdoin College,497,0.9020733699356126,0.47
Colby College,483,0.8114906951923195,0.34
Husson University,444,0.00917453004111808,0.35
University of Maine at Fort Kent,162,0.004221278017896368,0.55
University of Maine at Machias,104,0.0019021806145327615,0.27
University of Maine,1997,0.18223442090641154,0.3
Maine Maritime Academy,225,0.07354404738472133,0.44
University of Southern Maine,868,0.05733621353894392,0.27
Thomas College,269,0.0,0.35
Bowie State University,627,0.002076231479735845,0.3
Frostburg State University,895,0.02202957086718184,0.39
Hood College,281,0.07514097848219975,0.21
Johns Hopkins University,1390,0.895375930094216,0.36
University of Maryland-Baltimore County,1657,0.5519138527165635,0.27
University of Maryland Eastern Shore,610,0.0,0.27
Morgan State University,899,0.0,0.33
Mount St Mary's University,429,0.18821774272249872,0.13
Salisbury University,1246,0.36697838795116267,0.25
St Mary's College of Maryland,419,0.5835411833777119,0.29
Towson University,2748,0.18553281612993872,0.26
Stevenson University,752,0.05765169647834505,0.24
Washington College,350,0.4473801684165215,0.11
American International College,346,0.0,0.26
Amherst College,466,0.9088028366250921,0.41
Bay Path College,135,0.010091824553901752,0.26
Becker College,361,0.046830893520636074,0.15
Bentley University,974,0.6001973328935927,0.3
Boston College,2215,0.8513408845855451,0.28
Boston University,3877,0.7088517397330554,0.19
Brandeis University,833,0.8124902192441339,0.24
Eastern Nazarene College,165,0.0032239619250556597,0.31
Emerson College,863,0.6361214877717164,0.22
Emmanuel College,515,0.2463989512944165,0.13
Endicott College,629,0.15547761795165457,0.24
Fitchburg State University,759,0.04349449618340173,0.3
Framingham State University,826,0.11740505226115888,0.29
Gordon College,481,0.4586113573371357,0.29
Harvard University,1659,0.9526307799577608,0.81
Lesley University,316,0.20702080585757598,0.18
Massachusetts Institute of Technology,1115,0.9514915409903109,0.72
Massachusetts Maritime Academy,300,0.10257959611958946,0.49
Mount Ida College,307,0.0,0.21
Nichols College,414,0.00871573643488662,0.21
Northeastern University,2891,0.8640110665934615,0.19
College of Our Lady of the Elms,198,0.0,0.27
Simmons College,339,0.43080176415945337,0.16
University of Massachusetts-Dartmouth,1443,0.12102367927791761,0.25
Stonehill College,610,0.3684717080613378,0.13
Suffolk University,1188,0.057260014523071896,0.16
Tufts University,1314,0.9011937202238008,0.38
Wellesley College,595,0.8822464950668626,0.43
Wentworth Institute of Technology,900,0.22012241048545783,0.25
Wheelock College,217,0.06363113497151235,0.19
Williams College,547,0.9124833066296557,0.45
Worcester State University,780,0.08551398277704013,0.31
Alma College,376,0.31699250074458585,0.21
Andrews University,388,0.18875900635793716,0.41
University of Detroit Mercy,481,0.41537885068124997,0.21
Eastern Michigan University,2636,0.09572627581668361,0.35
Cornerstone University,362,0.2342318860141995,0.23
Grand Valley State University,4078,0.24367865356472102,0.27
Kalamazoo College,454,0.6276652620312493,0.27
Lake Superior State University,418,0.13865011389542123,0.31
Lawrence Technological University,341,0.41374873780839516,0.43
Madonna University,191,0.10778838381016159,0.29
University of Michigan-Ann Arbor,6200,0.8130202807917143,0.4
Michigan State University,8061,0.4308584251724326,0.37
