name,demand,cutoff,yield,trueyield,preferability
University of Maine at Fort Kent,162,0.004221278017896368,0.55,0.00021605518552727737,1.4355738262291048e-6
Averett University,241,0.004398795507914926,0.16,0.0003214727392722427,2.1442092247892417e-6
Barry University,576,0.005070162343677277,0.16,0.000768851648085405,5.203162366712825e-6
University of Bridgeport,542,0.005135887659238455,0.16,0.0007235158394966525,4.903250105660282e-6
Indiana University-Northwest,830,0.005405409059392387,0.61,0.001108267304257685,7.553612244461237e-6
Texas Woman's University,1161,0.005425692020215623,0.3,0.0015502705791176634,1.0570604273576818e-5
Pennsylvania State University-Penn State Hazleton,433,0.005774892610079878,0.43,0.0005783832292711297,3.971456898842054e-6
Brewton-Parker College,150,0.006002710060460777,0.61,0.00020040962729519896,1.3823712774063448e-6
Pennsylvania State University-Penn State Mont Alto,325,0.00608874546932335,0.48,0.000434258446367816,3.0005330038166527e-6
Dominican College of Blauvelt,286,0.006340602048442538,0.25,0.00038224429330270174,2.654340413474102e-6
University of North Carolina at Pembroke,1020,0.006340602048442538,0.46,0.0013632488782124327,9.466528747355189e-6
Indiana University-Southeast,1026,0.006355810652252587,0.62,0.0013712889777310502,9.525130368385132e-6
Newberry College,238,0.006616561858498847,0.45,0.00031817977003317793,2.2208827586811946e-6
Lyndon State College,365,0.006677868114849056,0.27,0.00048799488977708914,3.4100685072195933e-6
Bethany College,185,0.007038072812663881,0.22,0.0002474296001129758,1.7405642849387562e-6
Francis Marion University,744,0.0072606309187191005,0.33,0.0009952913098471442,7.03033896338045e-6
Pennsylvania State University-Penn State Brandywine,368,0.007339949816241053,0.36,0.0004923339633746227,3.4826686695004333e-6
Cedar Crest College,141,0.007811090711796022,0.23,0.0001887284035043324,1.3464609241472356e-6
University of Hawaii at Hilo,461,0.008176618717264767,0.38,0.0006172755923262645,4.4332555605896045e-6
The University of Virginia's College at Wise,335,0.008550564710187294,0.46,0.0004487317084915633,3.2446628994148782e-6
Nichols College,414,0.00871573643488662,0.21,0.000554644423499753,4.022454129644172e-6
Purdue University-North Central Campus,653,0.008750979395668212,0.55,0.000874868805862154,6.348818740616602e-6
Wayland Baptist University,348,0.008870414866695198,0.61,0.0004662956087696978,3.3909700604811376e-6
Husson University,444,0.00917453004111808,0.35,0.000595111482343872,4.3508424487515085e-6
Southern Connecticut State University,1380,0.009341562105374008,0.38,0.0018499826911682472,1.3564506021710522e-5
College of Mount Saint Vincent,386,0.009601849204852948,0.22,0.0005175949203339731,3.8118133694316266e-6
Truett-McConnell College,204,0.0098207686940762,0.54,0.0002736080533210428,2.022389145793535e-6
Bay Path College,135,0.010091824553901752,0.26,0.000181113731773661,1.344807530786947e-6
Eastern Washington University,1579,0.011624437088811319,0.38,0.002121644679098052,1.6169277606082863e-5
Utica College,489,0.011931860218432774,0.16,0.0006572558874711073,5.034667625969089e-6
Methodist University,452,0.01194095464252534,0.18,0.0006075304612616636,4.6544610967632745e-6
Pennsylvania State University-Penn State New Kensington,154,0.012132948841080347,0.44,0.00020703069595603458,1.5910955326713564e-6
Bluefield State College,306,0.012133820336118574,0.64,0.000411373044487747,3.16157513197512e-6
Fisk University,226,0.012397106316648539,0.17,0.00030390553299262,2.3456242859844856e-6
Mount Aloysius College,379,0.012500044038358145,0.36,0.0005097000153657215,3.940552158098464e-6
Mansfield University of Pennsylvania,629,0.012504333578880127,0.34,0.0008459174203468691,6.540339133044004e-6
Ohio Christian University,719,0.012814466137065895,0.51,0.0009672586660095619,7.5153286228336165e-6
Montana State University-Northern,200,0.013204994734132088,0.53,0.00026916313296572946,2.104156541036773e-6
Gwynedd Mercy University,211,0.01323586744639377,0.26,0.0002839759897066869,2.2210275250696005e-6
Johnson State College,225,0.01338112305854242,0.27,0.00030286258108110537,2.3741158360867956e-6
Texas A & M University-Corpus Christi,2051,0.013860239149050133,0.31,0.0027621019993673817,2.1814349430843867e-5
Indiana University-South Bend,921,0.014811919477869284,0.54,0.0012415179500592226,9.94676216356973e-6
Southeastern University,865,0.015226470330419668,0.69,0.0011665201974697828,9.40390036485002e-6
Southwestern Christian University,254,0.015760784381309952,0.71,0.0003427248329132807,2.7847434608069563e-6
Silver Lake College of the Holy Family,40,0.016261789346767915,0.39,5.399990207474449e-5,4.420309509048932e-7
Indiana University-Kokomo,508,0.01626642890844118,0.65,0.0006858019907673119,5.614206319958085e-6
